order_date,product,category,region,quantity,unit_price,revenue
2026-06-09,Bluetooth Speaker,Electronics,Nairobi,4,243.21,972.84
2026-06-09,Office Chair,Furniture,Nakuru,6,199.4,1196.4
2026-06-09,Ballpoint Pens (Box),Stationery,Nairobi,1,142.77,142.77
2026-06-09,Wireless Mouse,Electronics,Nairobi,6,123.77,742.62
2026-06-09,Standing Desk,Furniture,Mombasa,8,61.52,492.16
2026-06-09,Ballpoint Pens (Box),Stationery,Mombasa,8,59.13,473.04
2026-06-10,Bluetooth Speaker,Electronics,Nairobi,2,243.37,486.74
2026-06-10,Wireless Mouse,Electronics,Mombasa,4,290.85,1163.4
2026-06-10,Ballpoint Pens (Box),Stationery,Nakuru,4,148.26,593.04
2026-06-10,Wireless Mouse,Electronics,Nakuru,1,53.57,53.57
2026-06-10,USB-C Hub,Electronics,Kisumu,8,278.32,2226.56
2026-06-10,Ballpoint Pens (Box),Stationery,Mombasa,8,210.49,1683.92
2026-06-10,Standing Desk,Furniture,Eldoret,1,92.53,92.53
2026-06-10,Wireless Mouse,Electronics,Nairobi,1,225.65,225.65
2026-06-10,Bluetooth Speaker,Electronics,Nairobi,3,153.34,460.02
2026-06-11,Office Chair,Furniture,Eldoret,2,256.15,512.3
2026-06-11,Office Chair,Furniture,Nakuru,4,204.19,816.76
2026-06-11,Office Chair,Furniture,Eldoret,4,282.77,1131.08
2026-06-11,Wireless Mouse,Electronics,Eldoret,7,187.72,1314.04
2026-06-11,Desk Lamp,Furniture,Kisumu,4,280.74,1122.96
2026-06-11,Standing Desk,Furniture,Kisumu,3,83.36,250.08
2026-06-11,Bluetooth Speaker,Electronics,Nairobi,2,98.27,196.54
2026-06-11,Bluetooth Speaker,Electronics,Nairobi,2,188.24,376.48
2026-06-11,Standing Desk,Furniture,Kisumu,3,154.24,462.72
2026-06-11,Office Chair,Furniture,Kisumu,6,264.38,1586.28
2026-06-11,Notebook Pack,Stationery,Eldoret,5,134.26,671.3
2026-06-11,Wireless Mouse,Electronics,Nairobi,5,202.02,1010.1
2026-06-11,Notebook Pack,Stationery,Eldoret,2,83.02,166.04
2026-06-11,Notebook Pack,Stationery,Kisumu,4,85.34,341.36
2026-06-11,Standing Desk,Furniture,Eldoret,5,207.81,1039.05
2026-06-11,Bluetooth Speaker,Electronics,Nairobi,1,79.08,79.08
2026-06-12,USB-C Hub,Electronics,Mombasa,6,18.01,108.06
2026-06-12,USB-C Hub,Electronics,Eldoret,8,52.67,421.36
2026-06-12,Ballpoint Pens (Box),Stationery,Nairobi,2,170.47,340.94
2026-06-12,Notebook Pack,Stationery,Eldoret,6,165.95,995.7
2026-06-12,Notebook Pack,Stationery,Kisumu,1,131.79,131.79
2026-06-12,Desk Lamp,Furniture,Kisumu,1,270.2,270.2
2026-06-12,Standing Desk,Furniture,Kisumu,2,206.21,412.42
2026-06-12,Ballpoint Pens (Box),Stationery,Mombasa,3,292.28,876.84
2026-06-12,Notebook Pack,Stationery,Nakuru,3,292.98,878.94
2026-06-12,Wireless Mouse,Electronics,Nakuru,6,57.91,347.46
2026-06-12,Standing Desk,Furniture,Nakuru,2,83.71,167.42
2026-06-12,Wireless Mouse,Electronics,Mombasa,4,258.29,1033.16
2026-06-12,Bluetooth Speaker,Electronics,Mombasa,4,108.15,432.6
2026-06-12,Wireless Mouse,Electronics,Kisumu,7,199.71,1397.97
2026-06-13,Office Chair,Furniture,Kisumu,5,290.23,1451.15
2026-06-13,Ballpoint Pens (Box),Stationery,Nairobi,6,205.46,1232.76
2026-06-13,Office Chair,Furniture,Mombasa,5,263.73,1318.65
2026-06-13,USB-C Hub,Electronics,,7,16.29,114.03
2026-06-13,Desk Lamp,Furniture,Nakuru,2,133.74,267.48
2026-06-13,Standing Desk,Furniture,Nairobi,7,80.14,560.98
2026-06-13,Standing Desk,Furniture,Kisumu,2,112.45,224.9
2026-06-13,Desk Lamp,Furniture,Kisumu,2,200.7,401.4
2026-06-13,USB-C Hub,Electronics,Nakuru,6,201.73,1210.38
2026-06-13,USB-C Hub,Electronics,Nakuru,4,168.55,674.2
2026-06-13,Ballpoint Pens (Box),Stationery,Eldoret,3,204.81,614.43
2026-06-13,USB-C Hub,Electronics,Kisumu,1,124.79,124.79
2026-06-14,Standing Desk,Furniture,Nakuru,6,131.82,790.92
2026-06-14,Bluetooth Speaker,Electronics,Eldoret,4,135.44,541.76
2026-06-14,Bluetooth Speaker,Electronics,Nairobi,3,239.15,717.45
2026-06-14,USB-C Hub,Electronics,Nairobi,6,157.06,942.36
2026-06-14,Standing Desk,Furniture,Mombasa,4,203.47,813.88
2026-06-14,Notebook Pack,Stationery,Nakuru,4,12.21,48.84
2026-06-14,Office Chair,Furniture,Nakuru,4,139.35,557.4
2026-06-14,Bluetooth Speaker,Electronics,Nairobi,3,122.9,368.7
2026-06-14,Office Chair,Furniture,Mombasa,4,234.63,938.52
2026-06-14,Bluetooth Speaker,Electronics,Nairobi,4,19.81,79.24
2026-06-14,Bluetooth Speaker,Electronics,Eldoret,8,44.34,354.72
2026-06-14,Desk Lamp,Furniture,Eldoret,8,285.26,2282.08
2026-06-15,Ballpoint Pens (Box),Stationery,Mombasa,8,250.02,2000.16
2026-06-15,Bluetooth Speaker,Electronics,Kisumu,4,137.77,551.08
2026-06-15,Bluetooth Speaker,Electronics,Nakuru,5,189.89,949.45
2026-06-15,Office Chair,Furniture,Kisumu,4,215.5,862.0
2026-06-15,Desk Lamp,Furniture,Mombasa,2,99.31,198.62
2026-06-15,Notebook Pack,Stationery,Mombasa,3,73.22,219.66
2026-06-15,Office Chair,Furniture,Eldoret,6,127.39,764.34
2026-06-15,Bluetooth Speaker,Electronics,Nakuru,4,127.65,510.6
2026-06-15,Ballpoint Pens (Box),Stationery,Eldoret,1,271.93,271.93
2026-06-15,Ballpoint Pens (Box),Stationery,Kisumu,6,145.71,874.26
2026-06-15,Ballpoint Pens (Box),Stationery,Eldoret,7,256.77,1797.39
2026-06-15,Standing Desk,Furniture,Nakuru,5,149.03,745.15
2026-06-15,Bluetooth Speaker,Electronics,Nakuru,6,13.56,81.36
2026-06-15,Notebook Pack,Stationery,Eldoret,3,252.95,758.85
2026-06-15,Wireless Mouse,Electronics,Nairobi,1,272.54,272.54
2026-06-15,Ballpoint Pens (Box),Stationery,Mombasa,8,45.03,360.24
2026-06-16,USB-C Hub,Electronics,Nakuru,4,116.84,467.36
2026-06-16,Desk Lamp,Furniture,Kisumu,7,104.56,731.92
2026-06-16,Ballpoint Pens (Box),Stationery,Nakuru,2,79.42,158.84
2026-06-16,Wireless Mouse,Electronics,Kisumu,1,225.96,225.96
2026-06-16,Standing Desk,Furniture,Nairobi,1,196.79,196.79
2026-06-16,Standing Desk,Furniture,Eldoret,1,63.81,63.81
2026-06-16,Notebook Pack,Stationery,Nairobi,8,75.37,602.96
2026-06-16,Standing Desk,Furniture,Kisumu,5,142.19,710.95
2026-06-17,Office Chair,Furniture,Kisumu,3,234.45,703.35
2026-06-17,Office Chair,Furniture,Eldoret,5,175.71,878.55
2026-06-17,Ballpoint Pens (Box),Stationery,Nairobi,4,122.01,488.04
2026-06-17,Standing Desk,Furniture,Eldoret,5,35.06,175.3
2026-06-17,Office Chair,Furniture,Kisumu,1,239.89,239.89
2026-06-17,Ballpoint Pens (Box),Stationery,Eldoret,2,200.15,400.3
2026-06-17,Desk Lamp,Furniture,Nakuru,7,8.73,61.11
2026-06-17,Office Chair,Furniture,Nakuru,6,132.89,797.34
2026-06-17,Notebook Pack,Stationery,Eldoret,5,133.47,667.35
2026-06-17,Bluetooth Speaker,Electronics,Kisumu,5,142.14,710.7
2026-06-18,Office Chair,Furniture,Mombasa,8,87.28,698.24
2026-06-18,Bluetooth Speaker,Electronics,Kisumu,7,173.11,1211.77
2026-06-18,Wireless Mouse,Electronics,Mombasa,6,150.82,904.92
2026-06-18,Bluetooth Speaker,Electronics,,5,67.58,337.9
2026-06-18,USB-C Hub,Electronics,Eldoret,5,264.69,1323.45
2026-06-18,Wireless Mouse,Electronics,Nairobi,4,157.41,629.64
2026-06-18,Standing Desk,Furniture,Eldoret,8,217.42,1739.36
2026-06-18,Standing Desk,Furniture,Nakuru,8,208.73,1669.84
2026-06-18,Wireless Mouse,Electronics,Nakuru,4,32.45,129.8
2026-06-18,Standing Desk,Furniture,Nakuru,6,95.33,571.98
2026-06-18,Desk Lamp,Furniture,Kisumu,6,130.52,783.12
2026-06-19,USB-C Hub,Electronics,Nairobi,4,95.45,381.8
2026-06-19,Standing Desk,Furniture,Mombasa,3,98.09,294.27
2026-06-19,Standing Desk,Furniture,,5,222.89,1114.45
2026-06-19,USB-C Hub,Electronics,Kisumu,4,294.25,1177.0
2026-06-19,Standing Desk,Furniture,Nairobi,5,111.46,557.3
2026-06-19,Notebook Pack,Stationery,Eldoret,1,85.92,85.92
2026-06-19,USB-C Hub,Electronics,Nakuru,3,210.74,632.22
2026-06-19,Office Chair,Furniture,Nakuru,5,262.45,1312.25
2026-06-19,Bluetooth Speaker,Electronics,Nairobi,3,134.94,404.82
2026-06-19,USB-C Hub,Electronics,Nairobi,8,282.61,2260.88
2026-06-19,Office Chair,Furniture,Eldoret,2,123.21,246.42
2026-06-19,Wireless Mouse,Electronics,Nairobi,5,49.76,248.8
2026-06-19,Standing Desk,Furniture,Eldoret,7,39.94,279.58
2026-06-19,Standing Desk,Furniture,Nakuru,7,233.83,1636.81
2026-06-19,Bluetooth Speaker,Electronics,Kisumu,7,92.72,649.04
2026-06-20,Office Chair,Furniture,Mombasa,4,284.54,1138.16
2026-06-20,USB-C Hub,Electronics,Mombasa,3,199.83,599.49
2026-06-20,Notebook Pack,Stationery,Nairobi,3,167.84,503.52
2026-06-20,Ballpoint Pens (Box),Stationery,Kisumu,8,137.9,1103.2
2026-06-20,Wireless Mouse,Electronics,Nakuru,5,73.29,366.45
2026-06-20,Office Chair,Furniture,Eldoret,5,207.78,1038.9
2026-06-20,Standing Desk,Furniture,Mombasa,4,130.42,521.68
2026-06-20,USB-C Hub,Electronics,Nairobi,2,248.86,497.72
2026-06-21,USB-C Hub,Electronics,Nakuru,5,180.54,902.7
2026-06-21,Office Chair,Furniture,Nakuru,5,143.27,716.35
2026-06-21,USB-C Hub,Electronics,Nakuru,8,152.64,1221.12
2026-06-21,Office Chair,Furniture,Kisumu,7,181.42,1269.94
2026-06-21,USB-C Hub,Electronics,Eldoret,4,12.63,50.52
2026-06-21,Wireless Mouse,Electronics,Eldoret,5,299.87,1499.35
2026-06-21,Wireless Mouse,Electronics,Nakuru,3,230.12,690.36
2026-06-21,Bluetooth Speaker,Electronics,Eldoret,3,275.24,825.72
2026-06-21,Ballpoint Pens (Box),Stationery,Nairobi,8,192.26,1538.08
2026-06-21,Bluetooth Speaker,Electronics,Kisumu,6,107.65,645.9
2026-06-22,Notebook Pack,Stationery,Kisumu,8,102.29,818.32
2026-06-22,Ballpoint Pens (Box),Stationery,Nakuru,1,245.0,245.0
2026-06-22,Office Chair,Furniture,Nairobi,6,97.78,586.68
2026-06-22,Ballpoint Pens (Box),Stationery,Eldoret,1,260.15,260.15
2026-06-22,Bluetooth Speaker,Electronics,Eldoret,4,126.91,507.64
2026-06-22,Desk Lamp,Furniture,Nakuru,8,188.68,1509.44
2026-06-22,Wireless Mouse,Electronics,Kisumu,3,65.05,195.15
2026-06-22,Bluetooth Speaker,Electronics,Nairobi,8,264.85,2118.8
2026-06-22,Wireless Mouse,Electronics,Mombasa,4,292.08,1168.32
2026-06-23,Wireless Mouse,Electronics,Mombasa,2,167.91,335.82
2026-06-23,Office Chair,Furniture,Mombasa,2,141.13,282.26
2026-06-23,Bluetooth Speaker,Electronics,Eldoret,5,280.13,1400.65
2026-06-23,USB-C Hub,Electronics,Nakuru,8,127.57,1020.56
2026-06-23,Standing Desk,Furniture,Nakuru,3,139.75,419.25
2026-06-23,Standing Desk,Furniture,Nairobi,3,276.95,830.85
2026-06-23,USB-C Hub,Electronics,Kisumu,7,232.94,1630.58
2026-06-23,USB-C Hub,Electronics,Kisumu,5,247.06,1235.3
2026-06-23,Bluetooth Speaker,Electronics,Eldoret,8,260.25,2082.0
2026-06-23,Bluetooth Speaker,Electronics,Nakuru,7,106.81,747.67
2026-06-23,Desk Lamp,Furniture,Eldoret,4,261.53,1046.12
2026-06-23,Ballpoint Pens (Box),Stationery,Nairobi,7,73.9,517.3
2026-06-24,Bluetooth Speaker,Electronics,Nakuru,7,213.04,1491.28
2026-06-24,Notebook Pack,Stationery,Mombasa,1,151.12,151.12
2026-06-24,Desk Lamp,Furniture,Nairobi,8,261.56,2092.48
2026-06-24,Bluetooth Speaker,Electronics,Nakuru,3,9.53,28.59
2026-06-24,Notebook Pack,Stationery,Kisumu,5,27.07,135.35
2026-06-24,Ballpoint Pens (Box),Stationery,Eldoret,6,196.7,1180.2
2026-06-24,Ballpoint Pens (Box),Stationery,Eldoret,8,286.47,2291.76
2026-06-24,Wireless Mouse,Electronics,,4,187.15,748.6
2026-06-24,Standing Desk,Furniture,Nairobi,7,225.3,1577.1
2026-06-24,Office Chair,Furniture,Nairobi,5,135.89,679.45
2026-06-24,Wireless Mouse,Electronics,Kisumu,1,100.69,100.69
2026-06-24,Desk Lamp,Furniture,Mombasa,3,115.58,346.74
2026-06-24,Ballpoint Pens (Box),Stationery,Mombasa,3,171.95,515.85
2026-06-25,Office Chair,Furniture,Eldoret,7,184.8,1293.6
2026-06-25,Standing Desk,Furniture,Mombasa,3,151.81,455.43
2026-06-25,Bluetooth Speaker,Electronics,Kisumu,8,193.18,1545.44
2026-06-25,Wireless Mouse,Electronics,Kisumu,8,270.18,2161.44
2026-06-25,Notebook Pack,Stationery,Eldoret,6,26.79,160.74
2026-06-25,USB-C Hub,Electronics,Kisumu,7,193.49,1354.43
2026-06-25,Bluetooth Speaker,Electronics,Nakuru,4,254.36,1017.44
2026-06-25,Bluetooth Speaker,Electronics,Eldoret,7,36.46,255.22
2026-06-25,Desk Lamp,Furniture,Nairobi,5,174.57,872.85
2026-06-25,Ballpoint Pens (Box),Stationery,Eldoret,1,85.97,85.97
2026-06-26,USB-C Hub,Electronics,Eldoret,4,233.84,935.36
2026-06-26,Desk Lamp,Furniture,Eldoret,4,69.61,278.44
2026-06-26,USB-C Hub,Electronics,Nairobi,3,204.94,614.82
2026-06-26,Wireless Mouse,Electronics,Nairobi,8,96.14,769.12
2026-06-26,Desk Lamp,Furniture,Kisumu,2,221.05,442.1
2026-06-26,Desk Lamp,Furniture,Mombasa,3,225.51,676.53
2026-06-26,Notebook Pack,Stationery,Eldoret,6,237.02,1422.12
2026-06-26,USB-C Hub,Electronics,Nakuru,5,249.99,1249.95
2026-06-26,USB-C Hub,Electronics,Nairobi,6,225.24,1351.44
2026-06-26,Bluetooth Speaker,Electronics,Mombasa,3,289.05,867.15
2026-06-26,Ballpoint Pens (Box),Stationery,Nairobi,6,290.34,1742.04
2026-06-26,Ballpoint Pens (Box),Stationery,Nakuru,2,9.11,18.22
2026-06-26,Desk Lamp,Furniture,Eldoret,5,203.48,1017.4
2026-06-26,Ballpoint Pens (Box),Stationery,Nairobi,6,247.61,1485.66
2026-06-26,Standing Desk,Furniture,Eldoret,6,144.09,864.54
2026-06-27,Office Chair,Furniture,Kisumu,8,192.44,1539.52
2026-06-27,Ballpoint Pens (Box),Stationery,Nairobi,1,39.42,39.42
2026-06-27,USB-C Hub,Electronics,Nairobi,2,298.8,597.6
2026-06-27,Standing Desk,Furniture,,3,266.74,800.22
2026-06-27,Bluetooth Speaker,Electronics,Eldoret,7,114.45,801.15
2026-06-27,Notebook Pack,Stationery,Nakuru,2,266.2,532.4
2026-06-27,Ballpoint Pens (Box),Stationery,Nairobi,5,282.02,1410.1
2026-06-27,Desk Lamp,Furniture,Mombasa,8,69.09,552.72
2026-06-27,Desk Lamp,Furniture,Eldoret,6,34.31,205.86
2026-06-27,Desk Lamp,Furniture,Mombasa,5,22.86,114.3
2026-06-27,Office Chair,Furniture,Nairobi,8,284.96,2279.68
2026-06-28,Wireless Mouse,Electronics,Mombasa,6,19.92,119.52
2026-06-28,Notebook Pack,Stationery,Nairobi,4,237.16,948.64
2026-06-28,Standing Desk,Furniture,Kisumu,4,177.98,711.92
2026-06-28,Notebook Pack,Stationery,Kisumu,1,237.65,237.65
2026-06-28,Notebook Pack,Stationery,Mombasa,5,296.32,1481.6
2026-06-28,Office Chair,Furniture,Mombasa,1,200.01,200.01
2026-06-28,Wireless Mouse,Electronics,Eldoret,4,110.68,442.72
2026-06-28,Desk Lamp,Furniture,Nairobi,5,9.66,48.3
2026-06-28,Notebook Pack,Stationery,Nairobi,2,223.81,447.62
2026-06-28,Bluetooth Speaker,Electronics,Eldoret,6,137.24,823.44
2026-06-28,Office Chair,Furniture,Eldoret,4,138.34,553.36
2026-06-29,USB-C Hub,Electronics,Nairobi,1,140.12,140.12
2026-06-29,Bluetooth Speaker,Electronics,Nairobi,7,254.95,1784.65
2026-06-29,Bluetooth Speaker,Electronics,Nairobi,8,215.16,1721.28
2026-06-29,Office Chair,Furniture,Nairobi,3,100.02,300.06
2026-06-29,Notebook Pack,Stationery,Nakuru,6,86.13,516.78
2026-06-29,USB-C Hub,Electronics,Nairobi,7,138.85,971.95
2026-06-29,Office Chair,Furniture,Nakuru,4,256.57,1026.28
2026-06-29,Bluetooth Speaker,Electronics,Kisumu,7,266.99,1868.93
2026-06-30,Ballpoint Pens (Box),Stationery,Kisumu,2,127.72,255.44
2026-06-30,Ballpoint Pens (Box),Stationery,Kisumu,5,97.19,485.95
2026-06-30,Notebook Pack,Stationery,Nairobi,8,207.61,1660.88
2026-06-30,Office Chair,Furniture,Nakuru,2,250.37,500.74
2026-06-30,Office Chair,Furniture,Mombasa,6,224.65,1347.9
2026-06-30,Wireless Mouse,Electronics,Nairobi,6,178.01,1068.06
2026-06-30,Ballpoint Pens (Box),Stationery,Nairobi,7,109.31,765.17
2026-06-30,USB-C Hub,Electronics,Nairobi,6,182.12,1092.72
2026-06-30,Standing Desk,Furniture,Mombasa,8,50.65,405.2
2026-06-30,Office Chair,Furniture,Nairobi,6,108.28,649.68
2026-06-30,USB-C Hub,Electronics,Eldoret,7,174.36,1220.52
2026-06-30,Wireless Mouse,Electronics,Nairobi,5,184.65,923.25
2026-06-30,Notebook Pack,Stationery,Kisumu,5,85.61,428.05
2026-06-30,Desk Lamp,Furniture,Eldoret,3,6.8,20.4
2026-06-30,Ballpoint Pens (Box),Stationery,Nairobi,1,25.53,25.53
2026-07-01,Standing Desk,Furniture,Kisumu,8,115.98,927.84
2026-07-01,Notebook Pack,Stationery,Eldoret,6,114.17,685.02
2026-07-01,Office Chair,Furniture,Mombasa,3,265.59,796.77
2026-07-01,Wireless Mouse,Electronics,Nakuru,5,203.82,1019.1
2026-07-01,Ballpoint Pens (Box),Stationery,Nakuru,8,148.27,1186.16
2026-07-01,USB-C Hub,Electronics,Kisumu,2,68.59,137.18
2026-07-01,Ballpoint Pens (Box),Stationery,Eldoret,8,37.71,301.68
2026-07-01,USB-C Hub,Electronics,Eldoret,7,18.4,128.8
2026-07-01,Wireless Mouse,Electronics,Mombasa,5,7.27,36.35
2026-07-01,Notebook Pack,Stationery,Kisumu,5,230.43,1152.15
2026-07-01,Office Chair,Furniture,Mombasa,7,7.28,50.96
2026-07-01,Notebook Pack,Stationery,Eldoret,4,117.16,468.64
2026-07-01,Desk Lamp,Furniture,Nakuru,1,26.26,26.26
2026-07-01,Wireless Mouse,Electronics,Kisumu,2,140.63,281.26
2026-07-01,Ballpoint Pens (Box),Stationery,Kisumu,7,174.15,1219.05
2026-07-01,Office Chair,Furniture,,6,124.48,746.88
2026-07-02,Desk Lamp,Furniture,Mombasa,2,31.0,62.0
2026-07-02,Ballpoint Pens (Box),Stationery,Nakuru,2,178.72,357.44
2026-07-02,USB-C Hub,Electronics,Kisumu,4,225.01,900.04
2026-07-02,Notebook Pack,Stationery,Eldoret,2,27.53,55.06
2026-07-02,Standing Desk,Furniture,Kisumu,6,272.25,1633.5
2026-07-02,Notebook Pack,Stationery,Kisumu,3,74.7,224.1
2026-07-02,Standing Desk,Furniture,Nairobi,3,56.18,168.54
2026-07-02,Notebook Pack,Stationery,Nakuru,8,285.63,2285.04
2026-07-02,Bluetooth Speaker,Electronics,Kisumu,6,205.93,1235.58
2026-07-02,Notebook Pack,Stationery,Nakuru,8,134.73,1077.84
2026-07-02,USB-C Hub,Electronics,Kisumu,1,239.92,239.92
2026-07-02,Office Chair,Furniture,Nairobi,8,96.57,772.56
2026-07-02,Wireless Mouse,Electronics,Nairobi,5,113.78,568.9
2026-07-02,Office Chair,Furniture,Nakuru,7,186.43,1305.01
2026-07-02,Wireless Mouse,Electronics,Kisumu,4,137.67,550.68
2026-07-03,Notebook Pack,Stationery,Nairobi,8,287.53,2300.24
2026-07-03,Desk Lamp,Furniture,Eldoret,2,294.8,589.6
2026-07-03,Notebook Pack,Stationery,Nakuru,8,16.55,132.4
2026-07-03,Notebook Pack,Stationery,Nakuru,5,112.35,561.75
2026-07-03,Ballpoint Pens (Box),Stationery,Kisumu,1,233.47,233.47
2026-07-03,Office Chair,Furniture,Kisumu,7,102.26,715.82
2026-07-03,USB-C Hub,Electronics,Kisumu,3,218.5,655.5
2026-07-03,Office Chair,Furniture,Kisumu,3,176.91,530.73
2026-07-03,USB-C Hub,Electronics,,7,290.47,2033.29
2026-07-03,Office Chair,Furniture,Kisumu,7,96.33,674.31
2026-07-03,Notebook Pack,Stationery,Nakuru,2,202.68,405.36
2026-07-03,Desk Lamp,Furniture,Mombasa,5,10.38,51.9
2026-07-03,Standing Desk,Furniture,Mombasa,8,105.81,846.48
2026-07-03,Standing Desk,Furniture,Nairobi,3,299.99,899.97
2026-07-03,USB-C Hub,Electronics,Eldoret,2,254.11,508.22
2026-07-04,Wireless Mouse,Electronics,Eldoret,3,200.27,600.81
2026-07-04,Ballpoint Pens (Box),Stationery,Eldoret,3,50.5,151.5
2026-07-04,Notebook Pack,Stationery,Nakuru,1,217.75,217.75
2026-07-04,Desk Lamp,Furniture,Nakuru,4,204.53,818.12
2026-07-04,USB-C Hub,Electronics,Mombasa,8,226.96,1815.68
2026-07-04,Standing Desk,Furniture,Mombasa,8,96.29,770.32
2026-07-04,Desk Lamp,Furniture,Nakuru,8,205.1,1640.8
2026-07-04,USB-C Hub,Electronics,Mombasa,7,234.55,1641.85
2026-07-04,Standing Desk,Furniture,Kisumu,3,241.37,724.11
2026-07-04,Wireless Mouse,Electronics,Eldoret,6,194.15,1164.9
2026-07-04,Office Chair,Furniture,Kisumu,2,214.86,429.72
2026-07-04,Office Chair,Furniture,Nakuru,5,230.12,1150.6
2026-07-04,Notebook Pack,Stationery,Mombasa,2,250.16,500.32
2026-07-04,Bluetooth Speaker,Electronics,Nakuru,1,265.97,265.97
2026-07-04,Wireless Mouse,Electronics,Mombasa,6,121.95,731.7
2026-07-04,Ballpoint Pens (Box),Stationery,Mombasa,6,298.38,1790.28
2026-07-05,Desk Lamp,Furniture,Mombasa,6,279.59,1677.54
2026-07-05,Notebook Pack,Stationery,Mombasa,8,16.3,130.4
2026-07-05,Bluetooth Speaker,Electronics,Nairobi,1,137.34,137.34
2026-07-05,Wireless Mouse,Electronics,Eldoret,3,80.5,241.5
2026-07-05,Ballpoint Pens (Box),Stationery,Mombasa,5,37.8,189.0
2026-07-05,USB-C Hub,Electronics,Nakuru,4,40.95,163.8
2026-07-05,Bluetooth Speaker,Electronics,,8,23.53,188.24
2026-07-05,Wireless Mouse,Electronics,Mombasa,4,191.43,765.72
2026-07-06,Ballpoint Pens (Box),Stationery,Mombasa,6,5.46,32.76
2026-07-06,Ballpoint Pens (Box),Stationery,Eldoret,2,60.26,120.52
2026-07-06,Desk Lamp,Furniture,Nakuru,1,24.97,24.97
2026-07-06,Bluetooth Speaker,Electronics,Kisumu,7,17.84,124.88
2026-07-06,USB-C Hub,Electronics,Nairobi,6,225.46,1352.76
2026-07-06,Desk Lamp,Furniture,Eldoret,2,76.13,152.26
2026-07-06,Desk Lamp,Furniture,Eldoret,6,44.36,266.16
2026-07-06,Desk Lamp,Furniture,Nakuru,3,244.99,734.97
2026-07-06,Bluetooth Speaker,Electronics,Nairobi,3,191.36,574.08
2026-07-06,Bluetooth Speaker,Electronics,Nairobi,4,15.91,63.64
2026-07-06,Standing Desk,Furniture,Kisumu,6,266.31,1597.86
