date,product,warehouse,units_shipped,shipping_cost,on_time
2026-06-23,Circuit Boards,Nairobi DC,16,22.03,False
2026-06-24,Packaging Boxes,Eldoret Store,319,444.46,True
2026-06-24,Plastic Housings,Nakuru Depot,226,644.19,True
2026-06-24,Glass Panels,Eldoret Store,480,927.52,True
2026-06-25,Steel Bolts,Eldoret Store,149,327.35,False
2026-06-25,Packaging Boxes,Nakuru Depot,390,1205.28,True
2026-06-25,Plastic Housings,Eldoret Store,104,316.04,True
2026-06-25,Rubber Seals,Nakuru Depot,364,713.0,True
2026-06-25,Rubber Seals,Mombasa Port,433,433.99,True
2026-06-26,Circuit Boards,Nairobi DC,109,129.3,True
2026-06-26,Circuit Boards,Nairobi DC,408,687.99,True
2026-06-26,Steel Bolts,,64,192.6,True
2026-06-26,Packaging Boxes,Eldoret Store,168,259.79,False
2026-06-26,Circuit Boards,Nairobi DC,133,587.02,True
2026-06-26,Rubber Seals,Nairobi DC,298,291.38,True
2026-06-26,Steel Bolts,Kisumu Hub,168,601.64,False
2026-06-26,Packaging Boxes,Kisumu Hub,266,952.76,True
2026-06-26,Plastic Housings,Nairobi DC,76,153.97,False
2026-06-27,Glass Panels,Mombasa Port,61,54.15,True
2026-06-27,Glass Panels,Nairobi DC,254,475.85,True
2026-06-27,Steel Bolts,Nairobi DC,247,1068.38,True
2026-06-27,Plastic Housings,Mombasa Port,120,437.36,True
2026-06-27,Glass Panels,Eldoret Store,266,853.9,False
2026-06-27,Rubber Seals,Mombasa Port,184,378.01,True
2026-06-27,Rubber Seals,Nairobi DC,448,1834.79,True
2026-06-27,Packaging Boxes,Mombasa Port,208,933.7,True
2026-06-27,Packaging Boxes,Eldoret Store,500,1561.41,True
2026-06-27,Steel Bolts,Mombasa Port,422,1534.13,True
2026-06-27,Steel Bolts,Nakuru Depot,454,521.29,True
2026-06-28,Steel Bolts,Kisumu Hub,92,269.84,True
2026-06-28,Packaging Boxes,Nakuru Depot,46,80.7,True
2026-06-28,Rubber Seals,Mombasa Port,141,603.11,False
2026-06-28,Steel Bolts,Kisumu Hub,259,1030.38,True
2026-06-28,Glass Panels,Mombasa Port,448,1089.12,True
2026-06-28,Circuit Boards,Kisumu Hub,329,364.83,True
2026-06-28,Circuit Boards,Nairobi DC,240,743.1,True
2026-06-29,Glass Panels,Nairobi DC,368,504.85,True
2026-06-29,Packaging Boxes,Eldoret Store,202,460.02,True
2026-06-29,Rubber Seals,Nairobi DC,208,434.94,True
2026-06-29,Rubber Seals,Nairobi DC,283,316.26,True
2026-06-29,Rubber Seals,Nakuru Depot,479,736.72,True
2026-06-29,Circuit Boards,Eldoret Store,172,447.08,True
2026-06-30,Circuit Boards,Nakuru Depot,68,64.03,True
2026-06-30,Packaging Boxes,Mombasa Port,250,496.17,True
2026-06-30,Rubber Seals,Nairobi DC,317,1351.97,True
2026-06-30,Rubber Seals,Mombasa Port,230,230.02,True
2026-06-30,Plastic Housings,Nakuru Depot,497,893.82,True
2026-06-30,Packaging Boxes,Nairobi DC,52,94.3,True
2026-06-30,Plastic Housings,Nakuru Depot,457,1838.86,True
2026-06-30,Circuit Boards,Mombasa Port,352,1363.31,True
2026-06-30,Rubber Seals,Kisumu Hub,471,2055.66,True
2026-06-30,Circuit Boards,Nakuru Depot,111,286.6,True
2026-07-01,Rubber Seals,Kisumu Hub,366,1528.64,True
2026-07-01,Steel Bolts,Eldoret Store,431,1593.57,True
2026-07-01,Plastic Housings,Eldoret Store,49,150.97,True
2026-07-01,Plastic Housings,Kisumu Hub,431,367.42,False
2026-07-01,Packaging Boxes,Nakuru Depot,488,1950.98,True
2026-07-02,Glass Panels,Nairobi DC,144,641.73,False
2026-07-02,Packaging Boxes,Nakuru Depot,448,1417.47,True
2026-07-02,Packaging Boxes,Mombasa Port,28,65.93,True
2026-07-02,Glass Panels,Nakuru Depot,95,151.97,True
2026-07-02,Plastic Housings,Eldoret Store,107,463.73,True
2026-07-02,Steel Bolts,Kisumu Hub,196,807.05,True
2026-07-02,Steel Bolts,Nakuru Depot,454,1453.24,True
2026-07-02,Circuit Boards,Kisumu Hub,220,850.14,True
2026-07-02,Circuit Boards,Nairobi DC,401,1695.22,True
2026-07-03,Glass Panels,Eldoret Store,100,140.18,True
2026-07-03,Plastic Housings,Nakuru Depot,155,487.66,True
2026-07-03,Steel Bolts,Nairobi DC,490,1853.17,True
2026-07-03,Steel Bolts,Eldoret Store,342,1453.58,True
2026-07-03,Glass Panels,Eldoret Store,393,459.38,True
2026-07-03,Steel Bolts,Kisumu Hub,307,1213.05,True
2026-07-03,Rubber Seals,Eldoret Store,407,899.47,True
2026-07-03,Steel Bolts,,250,1095.04,False
2026-07-04,Plastic Housings,Nakuru Depot,474,392.54,True
2026-07-04,Glass Panels,Kisumu Hub,124,221.98,True
2026-07-04,Rubber Seals,Mombasa Port,167,136.17,False
2026-07-04,Steel Bolts,Nairobi DC,26,35.55,True
2026-07-04,Glass Panels,Eldoret Store,428,845.15,True
2026-07-04,Rubber Seals,Mombasa Port,302,862.58,True
2026-07-04,Plastic Housings,Nakuru Depot,325,1256.33,True
2026-07-04,Rubber Seals,Mombasa Port,305,1304.1,True
2026-07-04,Packaging Boxes,Nakuru Depot,382,1583.56,True
2026-07-05,Steel Bolts,Mombasa Port,128,341.22,True
2026-07-05,Rubber Seals,Kisumu Hub,411,1602.14,True
2026-07-05,Packaging Boxes,Nairobi DC,175,200.39,True
2026-07-05,Glass Panels,Mombasa Port,331,298.87,True
2026-07-05,Steel Bolts,Eldoret Store,481,1065.37,True
2026-07-05,Rubber Seals,Kisumu Hub,76,113.26,True
2026-07-05,Circuit Boards,Mombasa Port,123,342.07,True
2026-07-05,Rubber Seals,Kisumu Hub,409,1324.85,True
2026-07-05,Packaging Boxes,Nairobi DC,488,1543.07,True
2026-07-06,Rubber Seals,Eldoret Store,66,82.76,True
2026-07-06,Packaging Boxes,Nairobi DC,144,156.43,True
2026-07-06,Packaging Boxes,Nakuru Depot,477,559.28,True
2026-07-06,Steel Bolts,,221,961.15,True
2026-07-07,Circuit Boards,Nakuru Depot,202,765.91,True
2026-07-07,Packaging Boxes,Eldoret Store,15,47.03,True
2026-07-07,Circuit Boards,Kisumu Hub,70,181.33,True
2026-07-07,Steel Bolts,Mombasa Port,289,789.11,True
2026-07-07,Packaging Boxes,Eldoret Store,72,65.47,True
2026-07-07,Packaging Boxes,Mombasa Port,272,1090.02,True
2026-07-07,Steel Bolts,Kisumu Hub,121,158.84,True
2026-07-07,Packaging Boxes,Kisumu Hub,364,659.77,True
2026-07-07,Circuit Boards,Eldoret Store,57,183.09,True
2026-07-08,Glass Panels,Nakuru Depot,233,981.56,True
2026-07-08,Plastic Housings,Kisumu Hub,111,483.84,True
2026-07-08,Glass Panels,Kisumu Hub,416,587.77,True
2026-07-08,Rubber Seals,Nakuru Depot,379,1541.23,True
2026-07-08,Circuit Boards,Kisumu Hub,392,1217.07,True
2026-07-08,Packaging Boxes,Eldoret Store,229,482.23,False
2026-07-08,Steel Bolts,Nakuru Depot,429,608.67,True
2026-07-08,Circuit Boards,Eldoret Store,271,627.71,True
2026-07-08,Plastic Housings,Eldoret Store,459,965.43,True
2026-07-08,Circuit Boards,Nakuru Depot,102,380.08,True
2026-07-09,Plastic Housings,,120,261.15,True
2026-07-09,Steel Bolts,Kisumu Hub,72,240.96,True
2026-07-09,Rubber Seals,,119,445.34,False
2026-07-09,Steel Bolts,Nakuru Depot,297,549.26,True
2026-07-10,Glass Panels,Kisumu Hub,62,213.91,False
2026-07-10,Plastic Housings,Nairobi DC,423,1236.69,True
2026-07-10,Rubber Seals,Kisumu Hub,359,1367.63,True
2026-07-10,Rubber Seals,Nakuru Depot,35,34.06,True
2026-07-10,Steel Bolts,Nakuru Depot,71,101.76,True
2026-07-10,Packaging Boxes,Eldoret Store,206,181.01,True
2026-07-11,Rubber Seals,Kisumu Hub,476,611.62,False
2026-07-11,Glass Panels,Eldoret Store,28,26.45,True
2026-07-11,Rubber Seals,Nairobi DC,45,174.17,True
2026-07-12,Circuit Boards,Kisumu Hub,150,342.19,True
2026-07-12,Rubber Seals,Eldoret Store,170,165.61,True
2026-07-12,Rubber Seals,Nairobi DC,242,948.49,False
2026-07-12,Steel Bolts,Mombasa Port,62,60.57,True
2026-07-12,Circuit Boards,Nakuru Depot,63,103.16,True
2026-07-12,Circuit Boards,Eldoret Store,380,1695.33,False
2026-07-12,Steel Bolts,Kisumu Hub,454,1847.0,True
2026-07-13,Circuit Boards,Nairobi DC,494,877.24,True
2026-07-13,Rubber Seals,Kisumu Hub,415,1404.8,False
2026-07-13,Rubber Seals,Nairobi DC,308,390.32,True
2026-07-14,Rubber Seals,Nairobi DC,336,917.46,True
2026-07-14,Plastic Housings,Nakuru Depot,254,1120.77,True
2026-07-14,Rubber Seals,Mombasa Port,384,437.63,True
2026-07-14,Steel Bolts,Kisumu Hub,374,1072.07,True
2026-07-14,Plastic Housings,Mombasa Port,347,1169.87,True
2026-07-14,Steel Bolts,,263,223.17,True
2026-07-14,Rubber Seals,Mombasa Port,429,1117.24,True
2026-07-14,Glass Panels,Eldoret Store,426,1150.85,True
2026-07-14,Circuit Boards,Nakuru Depot,493,1589.71,True
2026-07-15,Packaging Boxes,Mombasa Port,478,2003.67,True
2026-07-15,Glass Panels,Eldoret Store,241,373.83,True
2026-07-15,Circuit Boards,Nakuru Depot,45,63.34,True
2026-07-15,Glass Panels,Nairobi DC,455,611.96,True
2026-07-16,Steel Bolts,Nakuru Depot,133,198.44,True
2026-07-16,Glass Panels,Nakuru Depot,348,731.58,True
2026-07-16,Steel Bolts,Kisumu Hub,291,697.37,True
2026-07-16,Rubber Seals,Eldoret Store,267,543.3,True
2026-07-17,Steel Bolts,Nakuru Depot,60,210.5,True
2026-07-17,Packaging Boxes,Nakuru Depot,160,232.57,True
2026-07-17,Rubber Seals,Eldoret Store,321,771.75,True
2026-07-17,Packaging Boxes,Nairobi DC,340,548.23,True
2026-07-17,Glass Panels,Kisumu Hub,28,47.14,True
2026-07-17,Packaging Boxes,Eldoret Store,151,511.62,True
2026-07-17,Steel Bolts,Mombasa Port,211,741.77,True
2026-07-17,Rubber Seals,Mombasa Port,147,210.62,True
2026-07-18,Glass Panels,Kisumu Hub,371,1304.2,True
2026-07-18,Plastic Housings,Eldoret Store,267,684.59,True
2026-07-18,Plastic Housings,Mombasa Port,474,677.75,True
2026-07-18,Packaging Boxes,Kisumu Hub,95,392.3,True
2026-07-18,Plastic Housings,Nakuru Depot,16,38.13,True
2026-07-18,Steel Bolts,,145,480.39,True
2026-07-18,Circuit Boards,Nakuru Depot,314,928.71,True
2026-07-19,Steel Bolts,Nairobi DC,251,961.34,True
2026-07-19,Packaging Boxes,,158,420.54,True
2026-07-19,Steel Bolts,Nairobi DC,406,782.37,True
2026-07-19,Rubber Seals,Kisumu Hub,241,1075.4,True
2026-07-19,Circuit Boards,Kisumu Hub,259,646.82,True
2026-07-19,Plastic Housings,Kisumu Hub,164,672.08,True
2026-07-20,Circuit Boards,Eldoret Store,67,234.12,True
2026-07-20,Packaging Boxes,Mombasa Port,220,466.76,True
2026-07-20,Plastic Housings,Nakuru Depot,305,649.61,True
2026-07-20,Rubber Seals,Nairobi DC,109,476.57,True
2026-07-20,Glass Panels,Nakuru Depot,357,1589.77,True
2026-07-20,Circuit Boards,Kisumu Hub,99,404.47,True
2026-07-20,Circuit Boards,Kisumu Hub,223,335.64,True
2026-07-20,Circuit Boards,Eldoret Store,369,463.08,True
2026-07-20,Circuit Boards,Kisumu Hub,300,362.31,True
2026-07-20,Plastic Housings,Mombasa Port,484,1222.28,True
2026-07-21,Glass Panels,Mombasa Port,329,632.83,True
2026-07-21,Circuit Boards,Nairobi DC,419,1038.82,True
2026-07-21,Glass Panels,Nairobi DC,432,430.62,True
2026-07-21,Circuit Boards,Nairobi DC,230,226.47,True
2026-07-21,Circuit Boards,Eldoret Store,459,1497.12,True
2026-07-21,Steel Bolts,Kisumu Hub,89,118.17,True
2026-07-21,Glass Panels,Nairobi DC,231,433.35,True
2026-07-22,Plastic Housings,Nakuru Depot,137,323.8,False
2026-07-22,Circuit Boards,Kisumu Hub,60,180.54,True
2026-07-22,Plastic Housings,Kisumu Hub,233,879.86,True
2026-07-22,Packaging Boxes,Kisumu Hub,403,524.73,True
2026-07-22,Circuit Boards,Nairobi DC,164,311.62,False
2026-07-22,Glass Panels,Mombasa Port,246,539.0,True
2026-07-22,Steel Bolts,Mombasa Port,233,640.36,True
2026-07-22,Plastic Housings,Kisumu Hub,267,676.31,True
2026-07-23,Rubber Seals,Nairobi DC,220,918.82,True
2026-07-23,Rubber Seals,Nairobi DC,402,1445.86,True
2026-07-23,Packaging Boxes,Eldoret Store,164,442.01,True
2026-07-23,Glass Panels,Kisumu Hub,288,287.45,True
2026-07-23,Rubber Seals,Nairobi DC,74,185.92,True
2026-07-23,Rubber Seals,Nairobi DC,275,306.14,True
2026-07-23,Steel Bolts,Kisumu Hub,342,1025.68,True
2026-07-23,Rubber Seals,Kisumu Hub,299,1195.39,True
2026-07-23,Plastic Housings,Eldoret Store,309,1092.51,True
2026-07-24,Packaging Boxes,Eldoret Store,274,969.84,True
2026-07-24,Plastic Housings,Mombasa Port,124,237.25,True
2026-07-24,Steel Bolts,Nakuru Depot,489,1519.6,True
2026-07-24,Steel Bolts,Mombasa Port,44,133.5,True
2026-07-24,Packaging Boxes,Mombasa Port,59,69.82,True
2026-07-24,Rubber Seals,Nakuru Depot,268,269.59,True
2026-07-25,Packaging Boxes,Mombasa Port,257,1005.99,True
2026-07-25,Glass Panels,Nakuru Depot,430,1711.17,True
2026-07-25,Packaging Boxes,Nairobi DC,231,342.76,True
2026-07-25,Packaging Boxes,Mombasa Port,346,931.64,True
2026-07-25,Rubber Seals,Nakuru Depot,112,209.79,True
2026-07-25,Rubber Seals,Kisumu Hub,311,1017.12,True
2026-07-25,Steel Bolts,Nakuru Depot,367,859.7,True
2026-07-25,Circuit Boards,Nakuru Depot,24,29.87,True
2026-07-25,Circuit Boards,Nairobi DC,307,978.38,False
2026-07-26,Circuit Boards,Mombasa Port,31,78.47,True
2026-07-26,Steel Bolts,Mombasa Port,151,320.67,True
2026-07-26,Packaging Boxes,Kisumu Hub,267,1105.23,True
2026-07-26,Steel Bolts,Mombasa Port,272,877.72,True
2026-07-26,Glass Panels,Kisumu Hub,378,945.03,True
2026-07-26,Circuit Boards,Kisumu Hub,81,341.57,True
2026-07-26,Plastic Housings,Nakuru Depot,439,962.79,True
2026-07-26,Packaging Boxes,Eldoret Store,347,1187.24,True
2026-07-26,Glass Panels,Kisumu Hub,347,443.76,True
2026-07-26,Glass Panels,Kisumu Hub,499,1478.35,True
2026-07-27,Steel Bolts,Mombasa Port,33,54.69,True
2026-07-27,Plastic Housings,Nakuru Depot,265,529.35,True
2026-07-27,Plastic Housings,Mombasa Port,405,481.99,False
2026-07-27,Rubber Seals,Nakuru Depot,382,1609.29,True
2026-07-28,Steel Bolts,Nairobi DC,68,165.49,True
2026-07-28,Steel Bolts,Mombasa Port,333,662.1,True
2026-07-28,Packaging Boxes,Eldoret Store,203,580.36,True
2026-07-28,Rubber Seals,Kisumu Hub,261,426.56,True
2026-07-28,Glass Panels,Mombasa Port,232,259.44,True
2026-07-28,Steel Bolts,Mombasa Port,352,324.89,True
2026-07-28,Circuit Boards,Nakuru Depot,12,34.83,True
2026-07-29,Plastic Housings,,104,274.13,True
2026-07-29,Rubber Seals,Eldoret Store,302,635.04,True
2026-07-29,Packaging Boxes,Nairobi DC,296,717.46,True
2026-07-29,Steel Bolts,Eldoret Store,457,497.73,True
2026-07-29,Steel Bolts,Nairobi DC,162,428.53,True
2026-07-29,Circuit Boards,Nairobi DC,286,465.86,False
2026-07-29,Circuit Boards,Nakuru Depot,482,1639.82,True
2026-07-29,Packaging Boxes,Kisumu Hub,456,490.96,True
2026-07-30,Glass Panels,Eldoret Store,487,952.22,True
2026-07-30,Plastic Housings,Nairobi DC,289,854.36,False
2026-07-30,Plastic Housings,Nairobi DC,144,132.4,True
2026-07-30,Circuit Boards,Nairobi DC,112,147.32,True
2026-07-30,Circuit Boards,Nairobi DC,385,643.64,True
2026-07-30,Glass Panels,,495,1683.71,True
2026-07-30,Circuit Boards,Nairobi DC,28,120.81,True
2026-07-30,Steel Bolts,Eldoret Store,323,830.58,True
2026-07-30,Steel Bolts,Nairobi DC,380,354.05,True
2026-07-30,Circuit Boards,Nakuru Depot,342,877.95,True
2026-07-30,Packaging Boxes,Nairobi DC,458,1944.49,True
2026-07-31,Glass Panels,Nakuru Depot,283,940.46,True
2026-07-31,Rubber Seals,Nairobi DC,292,651.85,True
2026-07-31,Rubber Seals,Nakuru Depot,74,209.67,True
2026-07-31,Glass Panels,Kisumu Hub,70,147.11,True
2026-07-31,Steel Bolts,Mombasa Port,480,796.09,True
2026-07-31,Rubber Seals,Eldoret Store,126,365.62,False
2026-08-01,Plastic Housings,,457,1739.66,True
2026-08-01,Rubber Seals,Mombasa Port,74,136.57,True
2026-08-01,Plastic Housings,Mombasa Port,318,1428.75,True
2026-08-02,Plastic Housings,Nairobi DC,255,823.49,True
2026-08-02,Glass Panels,Mombasa Port,490,1289.31,True
2026-08-02,Packaging Boxes,Nakuru Depot,192,660.21,False
2026-08-02,Glass Panels,Kisumu Hub,409,1642.21,True
2026-08-02,Circuit Boards,Kisumu Hub,467,1579.28,True
2026-08-02,Circuit Boards,Nakuru Depot,37,126.18,True
2026-08-02,Steel Bolts,Mombasa Port,153,638.71,True
2026-08-02,Packaging Boxes,Kisumu Hub,276,978.44,True
2026-08-02,Plastic Housings,Mombasa Port,200,186.54,True
2026-08-03,Rubber Seals,Nairobi DC,342,300.54,True
2026-08-03,Circuit Boards,Eldoret Store,148,328.78,True
2026-08-03,Steel Bolts,Kisumu Hub,53,209.98,True
2026-08-03,Rubber Seals,Nakuru Depot,19,46.41,True
2026-08-03,Packaging Boxes,Nakuru Depot,204,565.12,True
2026-08-03,Glass Panels,Kisumu Hub,26,110.96,False
2026-08-03,Circuit Boards,Kisumu Hub,396,1503.97,True
2026-08-03,Steel Bolts,Kisumu Hub,397,1383.71,True
2026-08-03,Rubber Seals,Nairobi DC,453,1715.68,True
2026-08-03,Plastic Housings,Kisumu Hub,497,1976.32,False
2026-06-05,Glass Panels,Eldoret Store,481,460.18,True
