date,department,category,amount
2026-07-25,Marketing,Contractors,2941.64
2026-07-25,Support,Marketing Spend,1854.24
2026-07-25,Marketing,Office Supplies,884.77
2026-07-26,Sales,Travel,3575.39
2026-07-26,Operations,Payroll,4208.54
2026-07-26,Sales,Contractors,3678.22
2026-07-26,Operations,Office Supplies,2254.52
2026-07-26,Marketing,Office Supplies,2780.78
2026-07-26,Sales,Contractors,3052.81
2026-07-26,Marketing,Travel,4461.92
2026-07-26,Sales,Payroll,3681.05
2026-07-26,Engineering,,423.23
2026-07-27,Support,Contractors,204.41
2026-07-27,Support,Marketing Spend,2055.42
2026-07-27,Support,Travel,4536.2
2026-07-27,Support,Payroll,2740.17
2026-07-28,Operations,Contractors,3887.23
2026-07-28,Marketing,Office Supplies,1155.37
2026-07-28,Support,Contractors,4292.96
2026-07-28,Sales,Office Supplies,2530.56
2026-07-28,Engineering,Office Supplies,1851.13
2026-07-28,Engineering,Contractors,1232.46
2026-07-28,Support,Contractors,870.93
2026-07-28,Support,Travel,2258.79
2026-07-28,Sales,Marketing Spend,4746.12
2026-07-28,Sales,Contractors,3673.42
2026-07-28,Marketing,Software,1133.15
2026-07-28,Operations,Travel,361.16
2026-07-29,Sales,Software,3359.5
2026-07-29,Support,Payroll,1971.06
2026-07-29,Operations,Software,247.53
2026-07-29,Marketing,Software,3533.49
2026-07-29,Support,Contractors,4156.75
2026-07-29,Marketing,Marketing Spend,2744.53
2026-07-29,Sales,Office Supplies,3285.69
2026-07-29,Marketing,Marketing Spend,3284.02
2026-07-29,Engineering,Marketing Spend,1295.35
2026-07-30,Support,Office Supplies,1796.85
2026-07-30,Marketing,Office Supplies,3973.65
2026-07-30,Support,Software,2534.09
2026-07-30,Sales,Office Supplies,869.75
2026-07-30,Engineering,Marketing Spend,3235.21
2026-07-30,Sales,Travel,975.18
2026-07-30,Marketing,Marketing Spend,3600.65
2026-07-31,Sales,Office Supplies,4065.3
2026-07-31,Engineering,Office Supplies,3392.39
2026-07-31,Operations,,2974.41
2026-07-31,Operations,Software,1256.17
2026-07-31,Sales,Marketing Spend,2982.12
2026-08-01,Support,Software,4459.45
2026-08-01,Sales,Software,873.39
2026-08-01,Sales,Marketing Spend,4793.28
2026-08-01,Support,Marketing Spend,3206.23
2026-08-01,Marketing,Software,1122.14
2026-08-01,Support,Office Supplies,4343.15
2026-08-02,Sales,,3024.15
2026-08-02,Support,Travel,3134.9
2026-08-02,Support,Payroll,880.22
2026-08-02,Marketing,Office Supplies,3002.84
2026-08-02,Engineering,Travel,1922.15
2026-08-02,Sales,Software,131.99
2026-08-03,Support,Contractors,2127.99
2026-08-03,Sales,Marketing Spend,526.68
2026-08-03,Operations,Marketing Spend,3019.08
2026-08-03,Support,Marketing Spend,3774.3
2026-08-03,Engineering,Office Supplies,3313.99
2026-08-03,Support,Marketing Spend,4146.23
2026-08-03,Operations,Marketing Spend,2132.39
2026-08-03,Engineering,Contractors,2672.59
2026-08-03,Sales,Office Supplies,3958.3
2026-08-03,Operations,Payroll,2965.79
2026-08-03,Support,Software,2156.17
2026-08-03,Marketing,,3841.0
2026-06-07,Engineering,Payroll,656.51
